character.names.wikipedia,identifier,s01,s02,s03,s04,s05,s06,s07
ADDAM MARBRAND,312,2,0,0,0,0,0,0
AEMON,2,17,0,0,12,16,0,0
AERON GREYJOY,3,0,0,0,0,0,10,0
ALLISER THORNE,6,17,0,0,18,12,17,0
ALTON LANNISTER,7,0,7,0,0,0,0,0
ALYS KARSTARK,8,0,0,0,0,0,0,1
ANYA WAYNWOOD,11,0,0,0,14,0,0,0
AREO HOTAH,12,0,0,0,0,8,0,0
ARTHUR,14,0,0,0,0,0,8,0
ARYA STARK,16,103,27,14,35,78,61,98
BALON GREYJOY,18,0,16,0,0,0,13,0
BARRISTAN SELMY,20,24,0,2,8,22,0,0
BELICHO PAENYMION,21,0,0,0,0,0,2,0
BENJEN STARK,22,25,0,0,0,0,14,0
BERIC DONDARRION,23,1,0,0,0,0,11,28
BIANCA,24,0,0,0,0,0,7,0
BLACK WALDER RIVERS,26,0,0,0,0,0,12,0
BOBONO,27,0,0,0,0,0,14,0
BOWEN MARSH,29,0,0,0,0,0,1,0
BRAN STARK,30,78,8,30,7,8,50,32
BRIENNE OF TARTH,31,0,0,0,31,57,47,17
BRONN,32,38,4,0,0,87,32,33
BRYNDEN TULLY,34,0,0,5,0,0,34,0
CAMELLO,36,0,0,0,0,0,17,0
CATELYN STARK,37,154,14,17,0,0,0,0
CERSEI LANNISTER,39,119,53,0,30,188,84,96
CLARENZO,40,0,0,0,0,0,9,0
COHOLLO,321,1,0,0,0,0,0,0
COOPER,42,0,0,0,1,0,0,0
CRASTER,43,0,16,0,0,0,0,0
CRESSEN,44,0,7,0,0,0,0,0
DAARIO NAHARIS,45,0,0,12,0,53,53,0
DAENERYS TARGARYEN,46,147,20,5,36,129,90,146
DAISY,48,0,3,0,0,0,0,0
DAVOS SEAWORTH,49,0,34,0,3,53,100,75
DEREK,313,0,0,0,0,11,0,0
DICKON TARLY,51,0,0,0,0,0,5,12
DIM DALBA,52,0,0,0,0,0,2,0
DONNEL HILL,55,0,0,0,4,0,0,0
DONTOS HOLLARD,57,0,5,0,0,0,0,0
DORAN MARTELL,58,0,0,0,0,24,6,0
DOREAH,59,27,2,0,0,0,0,0
EBROSE,62,0,0,0,0,0,0,57
EDDARD STARK,63,341,0,0,0,0,17,0
EDDISON TOLLETT,64,0,12,0,14,2,23,3
EDMURE TULLY,65,0,0,2,0,0,17,0
ELLARIA SAND,66,0,0,0,3,27,8,15
EURON GREYJOY,67,0,0,0,0,0,23,25
FENNESZ,69,0,0,0,8,0,0,0
GARED,71,4,0,0,0,0,0,0
GATINS,72,0,0,0,0,0,9,0
GENDRY,73,9,29,0,0,0,0,30
GILLY,76,0,6,4,17,42,39,11
GREATJON UMBER,77,20,0,0,0,0,0,0
GREGOR CLEGANE,78,0,0,0,2,0,0,0
GRENN,80,24,9,0,15,0,0,0
GREY WORM,82,0,0,1,10,18,33,13
HARALD KARSTARK,86,0,0,0,0,0,1,0
HIZDAHR ZO LORAQ,94,0,0,0,0,42,0,0
HODOR,95,1,0,7,1,0,18,0
HOT PIE,97,6,10,0,0,0,0,16
HUGH,99,3,0,0,0,0,0,0
ILLYRIO MOPATIS,101,17,0,0,0,0,0,0
IRRI,103,17,2,0,0,0,0,0
IZEMBARO,104,0,0,0,0,0,19,0
JAIME LANNISTER,108,84,9,0,33,104,120,116
JANOS SLYNT,109,6,31,0,9,11,0,0
JAQEN H'GHAR,110,0,5,0,0,46,26,0
JAREMY RYKKER,314,1,0,0,0,0,0,0
JEOR MORMONT,111,34,18,0,0,0,0,0
JHIQUI,315,2,0,0,0,0,0,0
JOFFREY BARATHEON,112,60,27,0,0,0,0,0
JOJEN REED,114,0,0,16,4,0,0,0
JON SNOW,116,148,22,6,73,162,112,187
JONOS BRACKEN,316,3,0,0,0,0,0,0
JORAH MORMONT,117,94,9,8,21,59,32,36
JORY CASSEL,118,31,0,0,0,0,0,0
KARSI,121,0,0,0,0,14,0,0
KEVAN LANNISTER,124,9,0,0,0,10,10,0
KHAL DROGO,126,27,0,0,0,0,0,0
KHAL MORO,128,0,0,0,0,0,21,0
KINVARA,131,0,0,0,0,0,10,0
LADY CRANE,136,0,0,0,0,0,47,0
LANCEL LANNISTER,137,7,0,0,0,15,10,0
LEAF,138,0,0,0,0,0,5,0
LEM LEMONCLOAK,139,0,0,0,0,0,6,0
LEO LEFFORD,317,2,0,0,0,0,0,0
LITTLE SAM,141,0,0,0,0,0,0,1
LOBODA,142,0,0,0,0,13,0,0
LOLLYS STOKEWORTH,144,0,0,0,0,8,0,0
LOMMY GREENHANDS,145,5,3,0,0,0,0,0
LORAS TYRELL,146,23,0,0,0,24,10,0
LORD OF BONES,147,0,6,0,0,7,0,0
LOTHAR FREY,149,0,0,1,0,0,9,0
LUWIN,151,48,4,0,0,0,0,0
LYANNA MORMONT,152,0,0,0,0,0,26,4
LYANNA STARK,153,0,0,0,0,0,3,0
LYSA ARRYN,154,31,0,0,0,0,0,0
MACE TYRELL,155,0,0,0,0,20,5,0
MAGGY FROG,157,0,0,0,0,10,0,0
MAGO,158,4,0,0,0,0,0,0
MALKO,159,0,0,0,0,16,0,0
MANCE RAYDER,160,0,0,0,23,13,0,0
MARGAERY TYRELL,163,0,0,0,0,59,61,0
MARILLION,164,14,0,0,0,0,0,0
MASHA HEDDLE,318,3,0,0,0,0,0,0
MATTHOS SEAWORTH,167,0,17,0,0,0,0,0
MEERA REED,168,0,0,7,6,0,28,8
MELARA HETHERSPOON,169,0,0,0,0,7,0,0
MELESSA TARLY,170,0,0,0,0,0,14,0
MELISANDRE,171,0,21,0,0,38,38,15
MERRY FREY,324,0,0,1,0,0,0,0
MERYN TRANT,173,5,0,0,0,15,0,0
MHAEGEN,174,4,2,0,0,0,0,0
MIRRI MAZ DUUR,175,22,0,0,0,0,0,0
MISSANDEI,176,0,0,0,24,15,35,28
MORD,319,10,0,0,0,0,0,0
MOSSADOR,179,0,0,0,0,13,0,0
MYCAH,181,4,0,0,0,0,0,0
MYRANDA,182,0,0,0,0,24,0,0
MYRCELLA BARATHEON,183,1,1,0,0,29,0,0
NYMERIA SAND,186,0,0,0,0,6,5,2
OBARA SAND,187,0,0,0,0,10,5,3
OBERYN MARTELL,188,0,0,0,14,0,0,0
OLD NAN,189,5,0,0,0,0,3,0
OLENNA TYRELL,190,0,0,0,0,37,35,21
OLLY,191,0,0,0,0,20,0,0
OLYVAR,193,0,0,0,0,17,0,0
ORELL,194,0,0,10,0,0,0,0
OSHA,196,30,6,18,0,0,9,0
OTHELL YARWYCK,197,6,0,0,0,0,1,0
PETYR BAELISH,199,114,17,0,24,92,34,22
PODRICK PAYNE,200,0,2,0,7,38,11,2
PORTAN,202,0,1,0,0,0,0,0
PYCELLE,205,44,4,0,8,6,11,0
PYPAR,206,17,0,0,14,0,0,0
QOTHO,209,15,0,0,0,0,0,0
QYBURN,212,0,0,0,7,22,23,11
RAKHARO,213,21,3,0,0,0,0,0
RALF KENNING,214,0,0,0,9,0,0,0
RAMSAY BOLTON,215,0,0,0,16,74,72,0
RANDYLL TARLY,216,0,0,0,0,0,11,19
RAST,217,3,0,0,0,0,0,0
RAY,218,0,0,0,0,0,34,0
RAZDAL MO ERAZ,219,0,0,0,0,0,7,0
RENLY BARATHEON,220,45,0,0,0,0,0,0
RICKARD KARSTARK,223,1,0,0,0,0,0,0
RICKARD STARK,224,0,0,0,0,0,2,0
RICKON STARK,225,7,0,9,0,0,0,0
ROBB STARK,227,102,33,22,0,0,0,0
ROBERT BARATHEON,228,117,0,0,0,0,0,0
ROBETT GLOVER,229,0,0,0,0,0,10,5
ROBIN ARRYN,230,10,0,0,2,0,6,0
RODRIK CASSEL,231,18,1,0,0,0,1,0
ROOSE BOLTON,232,0,0,5,3,37,12,0
RORGE,233,0,5,0,0,0,0,0
ROS,234,38,13,0,0,0,0,0
ROSLIN TULLY,235,0,0,2,0,0,0,0
RYGER RIVERS,322,1,0,0,0,0,0,0
SALLADHOR SAAN,236,0,14,0,0,0,0,0
SAMWELL TARLY,238,62,22,3,67,100,50,58
SANDOR CLEGANE,239,13,1,19,25,0,41,54
SANSA STARK,240,101,6,0,12,96,114,106
SELYSE BARATHEON,241,0,0,0,0,15,0,0
SEPTA MORDANE,243,35,0,0,0,0,0,0
SEPTA UNELLA,244,0,0,0,0,7,7,0
SHAE,245,35,13,0,0,0,0,0
SHAGGA,246,6,0,0,0,0,0,0
SHIREEN BARATHEON,248,0,0,0,0,44,0,0
SMALLJON UMBER,251,0,0,0,0,0,17,0
STANNIS BARATHEON,254,0,23,0,8,109,0,0
STEVRON FREY,323,1,0,0,0,0,0,0
STYR,258,0,0,0,6,0,0,0
SYRIO FOREL,260,30,0,0,0,0,0,0
TALISA MAEGYR,261,0,0,9,0,0,0,0
TALLA TARLY,263,0,0,0,0,0,3,0
