character.names.wikipedia,identifier,s01e01,s01e02,s01e03,s01e04,s01e05,s01e06,s01e07,s01e08,s01e09,s01e10,s02e01,s02e02,s02e03,s02e04,s02e05,s02e06,s02e07,s02e08,s02e09,s02e10,s03e01,s03e02,s03e03,s03e04,s03e05,s03e06,s03e07,s03e08,s03e09,s03e10,s04e01,s04e02,s04e03,s04e04,s04e05,s04e06,s04e07,s04e08,s04e09,s04e10,s05e01,s05e02,s05e03,s05e04,s05e05,s05e06,s05e07,s05e08,s05e09,s05e10,s06e01,s06e02,s06e03,s06e04,s06e05,s06e06,s06e07,s06e08,s06e09,s06e10,s07e01,s07e02,s07e03,s07e04,s07e05,s07e06,s07e07
AEMON,2,0,0,0.005252100840336135,0.003692762186115214,0.0028089887640449437,0.002420135527589545,0.003865979381443299,0.0033532041728763042,0.005603164139749505,0.005151515151515152,0.004642271982523211,0.0041717791411042945,0.0041717791411042945,0.0041717791411042945,0.0041717791411042945,0.0041717791411042945,0.0041717791411042945,0.0041717791411042945,0.0041717791411042945,0.0041717791411042945,0.0041717791411042945,0.0041717791411042945,0.0041717791411042945,0.0041717791411042945,0.0041717791411042945,0.0041717791411042945,0.0041717791411042945,0.0041717791411042945,0.0039026629935720843,0.0039026629935720843,0.0039026629935720843,0.0039026629935720843,0.0039026629935720843,0.0039026629935720843,0.0039026629935720843,0.0039026629935720843,0.0039026629935720843,0.0036582741553690553,0.005550986842105263,0.0056179775280898875,0.005314275242807403,0.005863079841351957,0.005570117955439056,0.0053350070610387575,0.006020469596628537,0.005762858377755367,0.006234413965087282,0.006008812925624249,0.005841121495327103,0.005687563195146613,0.005563110396835208,0.005391804457225018,0.005233166647284568,0.005040322580645161,0.004876462938881665,0.00474583421219152,0.0046168051708217915,0.004467388067110096,0.004386820042893352,0.00428898208158597,0.004186046511627907,0.004070924552198299,0.003940800420352045,0.0038487854943551145,0.0037394050191125144,0.003694581280788177,0.003694581280788177
AERON GREYJOY,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.594536304816679e-4,3.488777764856379e-4,3.360215053763441e-4,0.001083658430862592,0.001054629824931449,0.0010259567046270648,9.927529038022437e-4,9.748488984207448e-4,9.531071292413268e-4,9.302325581395349e-4,9.046499004885109e-4,8.757334267448988e-4,8.552856654122477e-4,8.309788931361143e-4,8.210180623973727e-4,8.210180623973727e-4
ALLISER THORNE,6,0,0,0.004201680672268907,0.0103397341211226,0.007865168539325843,0.006776379477250726,0.006013745704467354,0.006333830104321907,0.005603164139749505,0.005151515151515152,0.004642271982523211,0.0041717791411042945,0.0041717791411042945,0.0041717791411042945,0.0041717791411042945,0.0041717791411042945,0.0041717791411042945,0.0041717791411042945,0.0041717791411042945,0.0041717791411042945,0.0041717791411042945,0.0041717791411042945,0.0041717791411042945,0.0041717791411042945,0.0041717791411042945,0.0041717791411042945,0.0041717791411042945,0.0041717791411042945,0.0039026629935720843,0.0039026629935720843,0.0039026629935720843,0.0039026629935720843,0.0039026629935720843,0.0039026629935720843,0.0039026629935720843,0.0039026629935720843,0.0039026629935720843,0.0036582741553690553,0.007195723684210526,0.006780317706315381,0.00678028220634048,0.00655285394033454,0.006225425950196592,0.0059626549505727286,0.005869957856712823,0.005618786918311482,0.005680243834857301,0.005474696221124315,0.0055815160955347875,0.005940343781597573,0.0069229818271727035,0.007428708363287803,0.007442725898360274,0.007168458781362007,0.006935413957520589,0.006749630879561274,0.006566122909613214,0.006353618584334359,0.006239032949892766,0.006099885627144491,0.005953488372093023,0.00578975936312647,0.005604693931167352,0.005473828258638385,0.005318264916071132,0.005254515599343186,0.005254515599343186
ALTON LANNISTER,7,0,0,0,0,0,0,0,0,0,0,0.0010922992900054614,0.0017177914110429449,0.0017177914110429449,0.0017177914110429449,0.0017177914110429449,0.0017177914110429449,0.0017177914110429449,0.0017177914110429449,0.0017177914110429449,0.0017177914110429449,0.0017177914110429449,0.0017177914110429449,0.0017177914110429449,0.0017177914110429449,0.0017177914110429449,0.0017177914110429449,0.0017177914110429449,0.0017177914110429449,0.0016069788797061523,0.0016069788797061523,0.0016069788797061523,0.0016069788797061523,0.0016069788797061523,0.0016069788797061523,0.0016069788797061523,0.0016069788797061523,0.0016069788797061523,0.001506348181622552,0.0014391447368421052,0.0013560635412630763,0.0012827560930914422,0.0012071046732195206,0.0011467889908256881,0.00109838380668445,0.001053582179409994,0.001008500216107189,9.697977279024661e-4,9.347042328748832e-4,9.086188992731049e-4,8.84732052578362e-4,8.653727283965879e-4,8.387251377905584e-4,8.14048145133155e-4,7.840501792114696e-4,7.585609016038145e-4,7.382408774520143e-4,7.181696932389454e-4,6.949270326615705e-4,6.823942288945213e-4,6.671749904689287e-4,6.511627906976744e-4,6.332549303419576e-4,6.130133987214292e-4,5.986999657885734e-4,5.8168522519528e-4,5.747126436781609e-4,5.747126436781609e-4
ALYS KARSTARK,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.302325581395348e-5,9.04649900488511e-5,8.757334267448988e-5,8.552856654122477e-5,8.309788931361143e-5,8.210180623973728e-5,8.210180623973728e-5
ANYA WAYNWOOD,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003012696363245104,0.0028782894736842104,0.0027121270825261525,0.0025655121861828845,0.002414209346439041,0.0022935779816513763,0.0021967676133689,0.002107164358819988,0.002017000432214378,0.0019395954558049321,0.0018694084657497664,0.0018172377985462098,0.001769464105156724,0.0017307454567931759,0.0016774502755811168,0.00162809629026631,0.0015681003584229391,0.001517121803207629,0.0014764817549040286,0.0014363393864778907,0.001389854065323141,0.0013647884577890426,0.0013343499809378575,0.0013023255813953488,0.0012665098606839153,0.0012260267974428583,0.0011973999315771468,0.00116337045039056,0.0011494252873563218,0.0011494252873563218
AREO HOTAH,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.724435247456458e-4,1.63826998689384e-4,1.5691197238349287e-4,1.5051173991571343e-4,8.64428756663305e-4,9.697977279024661e-4,9.347042328748832e-4,0.0010384215991692627,0.0010111223458038423,9.889974038818149e-4,9.58543014617781e-4,9.303407372950343e-4,8.960573476702509e-4,8.669267446900737e-4,8.437038599451593e-4,8.207653637016518e-4,7.942023230417948e-4,7.798791187365958e-4,7.624857033930614e-4,7.441860465116279e-4,7.237199203908088e-4,7.00586741395919e-4,6.842285323297981e-4,6.647831145088915e-4,6.568144499178982e-4,6.568144499178982e-4
ARTHUR,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.303407372950343e-4,8.960573476702509e-4,8.669267446900737e-4,8.437038599451593e-4,8.207653637016518e-4,7.942023230417948e-4,7.798791187365958e-4,7.624857033930614e-4,7.441860465116279e-4,7.237199203908088e-4,7.00586741395919e-4,6.842285323297981e-4,6.647831145088915e-4,6.568144499178982e-4,6.568144499178982e-4
ARYA STARK,16,0.015527950310559006,0.04658901830282862,0.052521008403361345,0.04283604135893648,0.03932584269662921,0.03872216844143272,0.03436426116838488,0.03427719821162444,0.032300593276203035,0.031212121212121212,0.028126706717640632,0.03190184049079755,0.03190184049079755,0.03190184049079755,0.03190184049079755,0.03190184049079755,0.03190184049079755,0.03190184049079755,0.03190184049079755,0.03190184049079755,0.03190184049079755,0.03190184049079755,0.03190184049079755,0.03190184049079755,0.03190184049079755,0.03190184049079755,0.03190184049079755,0.03190184049079755,0.03305785123966942,0.03305785123966942,0.03305785123966942,0.03305785123966942,0.03305785123966942,0.03305785123966942,0.03305785123966942,0.03305785123966942,0.03305785123966942,0.033139659995696145,0.031661184210526314,0.03467648198372724,0.032801905809052595,0.03345404380065529,0.03407601572739188,0.032637690255766516,0.031306441902468396,0.03313643567209336,0.031864782488223886,0.03231406062224596,0.032061266874350985,0.03248230535894843,0.03201879095067375,0.03163191948238677,0.031980462844516805,0.030801971326164874,0.030992631122670134,0.031111579835477746,0.030778701138811943,0.031470267050531124,0.03090271007993761,0.03030880670987419,0.031162790697674417,0.03220553645739099,0.0311761099921184,0.03301402668491276,0.03298986205750374,0.034154351395730705,0.034154351395730705
BALON GREYJOY,18,0,0,0,0,0,0,0,0,0,0,0,0.00392638036809816,0.00392638036809816,0.00392638036809816,0.00392638036809816,0.00392638036809816,0.00392638036809816,0.00392638036809816,0.00392638036809816,0.00392638036809816,0.00392638036809816,0.00392638036809816,0.00392638036809816,0.00392638036809816,0.00392638036809816,0.00392638036809816,0.00392638036809816,0.00392638036809816,0.0036730945821854912,0.0036730945821854912,0.0036730945821854912,0.0036730945821854912,0.0036730945821854912,0.0036730945821854912,0.0036730945821854912,0.0036730945821854912,0.0036730945821854912,0.003443081557994405,0.003289473684210526,0.0030995738086013174,0.0029320139270661537,0.0027590963959303327,0.002621231979030144,0.002510591558135886,0.002408187838651415,0.002305143351102147,0.0022166805209199226,0.002136466817999733,0.0020768431983385254,0.0020222446916076846,0.0019779948077636297,0.003474718427989456,0.0033724851726944995,0.0032482078853046594,0.003142609449501517,0.0030584264923012023,0.0029752744434184877,0.0028789834210265065,0.00282706180542016,0.0027640106747998474,0.002697674418604651,0.002623484711416682,0.0025396269375602067,0.0024803284296955183,0.0024098387900947315,0.002380952380952381,0.002380952380952381
