character.names.wikipedia,identifier,s01,s02,s03,s04,s05,s06,s07
ADDAM MARBRAND,312,6.060606060606061e-4,0,0,0,0,0,0
AEMON,2,0.005151515151515152,0,0,0.01488833746898263,0.005818181818181818,0,0
AERON GREYJOY,3,0,0,0,0,0,0.003875968992248062,0
ALLISER THORNE,6,0.005151515151515152,0,0,0.022332506203473945,0.004363636363636364,0.006589147286821705,0
ALTON LANNISTER,7,0,0.00903225806451613,0,0,0,0,0
ALYS KARSTARK,8,0,0,0,0,0,0,5.924170616113745e-4
ANYA WAYNWOOD,11,0,0,0,0.017369727047146403,0,0,0
AREO HOTAH,12,0,0,0,0,0.002909090909090909,0,0
ARTHUR,14,0,0,0,0,0,0.0031007751937984496,0
ARYA STARK,16,0.031212121212121212,0.03483870967741935,0.0498220640569395,0.043424317617866005,0.028363636363636365,0.023643410852713178,0.058056872037914695
BALON GREYJOY,18,0,0.02064516129032258,0,0,0,0.0050387596899224806,0
BARRISTAN SELMY,20,0.007272727272727273,0,0.0071174377224199285,0.009925558312655087,0.008,0,0
BELICHO PAENYMION,21,0,0,0,0,0,7.751937984496124e-4,0
BENJEN STARK,22,0.007575757575757576,0,0,0,0,0.005426356589147287,0
BERIC DONDARRION,23,3.0303030303030303e-4,0,0,0,0,0.004263565891472868,0.016587677725118485
BIANCA,24,0,0,0,0,0,0.0027131782945736434,0
BLACK WALDER RIVERS,26,0,0,0,0,0,0.004651162790697674,0
BOBONO,27,0,0,0,0,0,0.005426356589147287,0
BOWEN MARSH,29,0,0,0,0,0,3.875968992248062e-4,0
BRAN STARK,30,0.023636363636363636,0.01032258064516129,0.10676156583629894,0.008684863523573201,0.002909090909090909,0.01937984496124031,0.018957345971563982
BRIENNE OF TARTH,31,0,0,0,0.038461538461538464,0.020727272727272726,0.01821705426356589,0.010071090047393365
BRONN,32,0.011515151515151515,0.005161290322580645,0,0,0.031636363636363636,0.012403100775193798,0.019549763033175356
BRYNDEN TULLY,34,0,0,0.017793594306049824,0,0,0.01317829457364341,0
CAMELLO,36,0,0,0,0,0,0.006589147286821705,0
CATELYN STARK,37,0.04666666666666667,0.01806451612903226,0.060498220640569395,0,0,0,0
CERSEI LANNISTER,39,0.036060606060606064,0.06838709677419355,0,0.03722084367245657,0.06836363636363636,0.03255813953488372,0.05687203791469194
CLARENZO,40,0,0,0,0,0,0.0034883720930232558,0
COHOLLO,321,3.0303030303030303e-4,0,0,0,0,0,0
COOPER,42,0,0,0,0.0012406947890818859,0,0,0
CRASTER,43,0,0.02064516129032258,0,0,0,0,0
CRESSEN,44,0,0.00903225806451613,0,0,0,0,0
DAARIO NAHARIS,45,0,0,0.042704626334519574,0,0.01927272727272727,0.02054263565891473,0
DAENERYS TARGARYEN,46,0.04454545454545455,0.025806451612903226,0.017793594306049824,0.04466501240694789,0.04690909090909091,0.03488372093023256,0.08649289099526067
DAISY,48,0,0.003870967741935484,0,0,0,0,0
DAVOS SEAWORTH,49,0,0.04387096774193548,0,0.0037220843672456576,0.01927272727272727,0.03875968992248062,0.04443127962085308
DEREK,313,0,0,0,0,0.004,0,0
DICKON TARLY,51,0,0,0,0,0,0.001937984496124031,0.0071090047393364926
DIM DALBA,52,0,0,0,0,0,7.751937984496124e-4,0
DONNEL HILL,55,0,0,0,0.004962779156327543,0,0,0
DONTOS HOLLARD,57,0,0.0064516129032258064,0,0,0,0,0
DORAN MARTELL,58,0,0,0,0,0.008727272727272728,0.002325581395348837,0
DOREAH,59,0.008181818181818182,0.0025806451612903226,0,0,0,0,0
EBROSE,62,0,0,0,0,0,0,0.03376777251184834
EDDARD STARK,63,0.10333333333333333,0,0,0,0,0.006589147286821705,0
EDDISON TOLLETT,64,0,0.015483870967741935,0,0.017369727047146403,7.272727272727272e-4,0.008914728682170543,0.0017772511848341231
EDMURE TULLY,65,0,0,0.0071174377224199285,0,0,0.006589147286821705,0
ELLARIA SAND,66,0,0,0,0.0037220843672456576,0.009818181818181818,0.0031007751937984496,0.008886255924170616
EURON GREYJOY,67,0,0,0,0,0,0.008914728682170543,0.01481042654028436
FENNESZ,69,0,0,0,0.009925558312655087,0,0,0
GARED,71,0.0012121212121212121,0,0,0,0,0,0
GATINS,72,0,0,0,0,0,0.0034883720930232558,0
GENDRY,73,0.0027272727272727275,0.03741935483870968,0,0,0,0,0.017772511848341232
GILLY,76,0,0.007741935483870968,0.014234875444839857,0.02109181141439206,0.015272727272727273,0.015116279069767442,0.006516587677725118
GREATJON UMBER,77,0.006060606060606061,0,0,0,0,0,0
GREGOR CLEGANE,78,0,0,0,0.0024813895781637717,0,0,0
GRENN,80,0.007272727272727273,0.011612903225806452,0,0.018610421836228287,0,0,0
GREY WORM,82,0,0,0.0035587188612099642,0.01240694789081886,0.006545454545454545,0.012790697674418604,0.007701421800947867
HARALD KARSTARK,86,0,0,0,0,0,3.875968992248062e-4,0
HIZDAHR ZO LORAQ,94,0,0,0,0,0.015272727272727273,0,0
HODOR,95,3.0303030303030303e-4,0,0.02491103202846975,0.0012406947890818859,0,0.0069767441860465115,0
HOT PIE,97,0.0018181818181818182,0.012903225806451613,0,0,0,0,0.009478672985781991
HUGH,99,9.090909090909091e-4,0,0,0,0,0,0
ILLYRIO MOPATIS,101,0.005151515151515152,0,0,0,0,0,0
IRRI,103,0.005151515151515152,0.0025806451612903226,0,0,0,0,0
IZEMBARO,104,0,0,0,0,0,0.007364341085271318,0
JAIME LANNISTER,108,0.025454545454545455,0.011612903225806452,0,0.04094292803970223,0.03781818181818182,0.046511627906976744,0.06872037914691943
JANOS SLYNT,109,0.0018181818181818182,0.04,0,0.011166253101736972,0.004,0,0
JAQEN H'GHAR,110,0,0.0064516129032258064,0,0,0.016727272727272726,0.010077519379844961,0
JAREMY RYKKER,314,3.0303030303030303e-4,0,0,0,0,0,0
JEOR MORMONT,111,0.010303030303030303,0.023225806451612905,0,0,0,0,0
JHIQUI,315,6.060606060606061e-4,0,0,0,0,0,0
JOFFREY BARATHEON,112,0.01818181818181818,0.03483870967741935,0,0,0,0,0
JOJEN REED,114,0,0,0.05693950177935943,0.004962779156327543,0,0,0
JON SNOW,116,0.044848484848484846,0.02838709677419355,0.021352313167259787,0.09057071960297766,0.05890909090909091,0.043410852713178294,0.11078199052132702
JONOS BRACKEN,316,9.090909090909091e-4,0,0,0,0,0,0
JORAH MORMONT,117,0.028484848484848484,0.011612903225806452,0.028469750889679714,0.026054590570719603,0.021454545454545455,0.012403100775193798,0.02132701421800948
JORY CASSEL,118,0.009393939393939394,0,0,0,0,0,0
KARSI,121,0,0,0,0,0.005090909090909091,0,0
KEVAN LANNISTER,124,0.0027272727272727275,0,0,0,0.0036363636363636364,0.003875968992248062,0
KHAL DROGO,126,0.008181818181818182,0,0,0,0,0,0
KHAL MORO,128,0,0,0,0,0,0.00813953488372093,0
KINVARA,131,0,0,0,0,0,0.003875968992248062,0
LADY CRANE,136,0,0,0,0,0,0.01821705426356589,0
LANCEL LANNISTER,137,0.0021212121212121214,0,0,0,0.005454545454545455,0.003875968992248062,0
LEAF,138,0,0,0,0,0,0.001937984496124031,0
LEM LEMONCLOAK,139,0,0,0,0,0,0.002325581395348837,0
LEO LEFFORD,317,6.060606060606061e-4,0,0,0,0,0,0
LITTLE SAM,141,0,0,0,0,0,0,5.924170616113745e-4
LOBODA,142,0,0,0,0,0.0047272727272727275,0,0
LOLLYS STOKEWORTH,144,0,0,0,0,0.002909090909090909,0,0
LOMMY GREENHANDS,145,0.0015151515151515152,0.003870967741935484,0,0,0,0,0
LORAS TYRELL,146,0.0069696969696969695,0,0,0,0.008727272727272728,0.003875968992248062,0
LORD OF BONES,147,0,0.007741935483870968,0,0,0.0025454545454545456,0,0
LOTHAR FREY,149,0,0,0.0035587188612099642,0,0,0.0034883720930232558,0
LUWIN,151,0.014545454545454545,0.005161290322580645,0,0,0,0,0
LYANNA MORMONT,152,0,0,0,0,0,0.010077519379844961,0.002369668246445498
LYANNA STARK,153,0,0,0,0,0,0.0011627906976744186,0
LYSA ARRYN,154,0.009393939393939394,0,0,0,0,0,0
MACE TYRELL,155,0,0,0,0,0.007272727272727273,0.001937984496124031,0
MAGGY FROG,157,0,0,0,0,0.0036363636363636364,0,0
MAGO,158,0.0012121212121212121,0,0,0,0,0,0
MALKO,159,0,0,0,0,0.005818181818181818,0,0
MANCE RAYDER,160,0,0,0,0.028535980148883373,0.0047272727272727275,0,0
MARGAERY TYRELL,163,0,0,0,0,0.021454545454545455,0.023643410852713178,0
MARILLION,164,0.004242424242424243,0,0,0,0,0,0
MASHA HEDDLE,318,9.090909090909091e-4,0,0,0,0,0,0
MATTHOS SEAWORTH,167,0,0.02193548387096774,0,0,0,0,0
MEERA REED,168,0,0,0.02491103202846975,0.007444168734491315,0,0.010852713178294573,0.004739336492890996
MELARA HETHERSPOON,169,0,0,0,0,0.0025454545454545456,0,0
MELESSA TARLY,170,0,0,0,0,0,0.005426356589147287,0
MELISANDRE,171,0,0.027096774193548386,0,0,0.013818181818181818,0.014728682170542635,0.008886255924170616
MERRY FREY,324,0,0,0.0035587188612099642,0,0,0,0
MERYN TRANT,173,0.0015151515151515152,0,0,0,0.005454545454545455,0,0
MHAEGEN,174,0.0012121212121212121,0.0025806451612903226,0,0,0,0,0
MIRRI MAZ DUUR,175,0.006666666666666667,0,0,0,0,0,0
MISSANDEI,176,0,0,0,0.02977667493796526,0.005454545454545455,0.013565891472868217,0.016587677725118485
MORD,319,0.0030303030303030303,0,0,0,0,0,0
MOSSADOR,179,0,0,0,0,0.0047272727272727275,0,0
MYCAH,181,0.0012121212121212121,0,0,0,0,0,0
MYRANDA,182,0,0,0,0,0.008727272727272728,0,0
MYRCELLA BARATHEON,183,3.0303030303030303e-4,0.0012903225806451613,0,0,0.010545454545454545,0,0
NYMERIA SAND,186,0,0,0,0,0.002181818181818182,0.001937984496124031,0.001184834123222749
OBARA SAND,187,0,0,0,0,0.0036363636363636364,0.001937984496124031,0.0017772511848341231
OBERYN MARTELL,188,0,0,0,0.017369727047146403,0,0,0
OLD NAN,189,0.0015151515151515152,0,0,0,0,0.0011627906976744186,0
OLENNA TYRELL,190,0,0,0,0,0.013454545454545455,0.013565891472868217,0.012440758293838863
OLLY,191,0,0,0,0,0.007272727272727273,0,0
OLYVAR,193,0,0,0,0,0.0061818181818181816,0,0
ORELL,194,0,0,0.03558718861209965,0,0,0,0
OSHA,196,0.00909090909090909,0.007741935483870968,0.06405693950177936,0,0,0.0034883720930232558,0
OTHELL YARWYCK,197,0.0018181818181818182,0,0,0,0,3.875968992248062e-4,0
PETYR BAELISH,199,0.034545454545454546,0.02193548387096774,0,0.02977667493796526,0.03345454545454545,0.01317829457364341,0.013033175355450236
PODRICK PAYNE,200,0,0.0025806451612903226,0,0.008684863523573201,0.013818181818181818,0.004263565891472868,0.001184834123222749
PORTAN,202,0,0.0012903225806451613,0,0,0,0,0
PYCELLE,205,0.013333333333333334,0.005161290322580645,0,0.009925558312655087,0.002181818181818182,0.004263565891472868,0
PYPAR,206,0.005151515151515152,0,0,0.017369727047146403,0,0,0
QOTHO,209,0.004545454545454545,0,0,0,0,0,0
QYBURN,212,0,0,0,0.008684863523573201,0.008,0.008914728682170543,0.006516587677725118
RAKHARO,213,0.006363636363636364,0.003870967741935484,0,0,0,0,0
RALF KENNING,214,0,0,0,0.011166253101736972,0,0,0
RAMSAY BOLTON,215,0,0,0,0.019851116625310174,0.02690909090909091,0.027906976744186046,0
RANDYLL TARLY,216,0,0,0,0,0,0.004263565891472868,0.011255924170616114
RAST,217,9.090909090909091e-4,0,0,0,0,0,0
RAY,218,0,0,0,0,0,0.01317829457364341,0
RAZDAL MO ERAZ,219,0,0,0,0,0,0.0027131782945736434,0
RENLY BARATHEON,220,0.013636363636363636,0,0,0,0,0,0
RICKARD KARSTARK,223,3.0303030303030303e-4,0,0,0,0,0,0
RICKARD STARK,224,0,0,0,0,0,7.751937984496124e-4,0
RICKON STARK,225,0.0021212121212121214,0,0.03202846975088968,0,0,0,0
ROBB STARK,227,0.03090909090909091,0.04258064516129032,0.07829181494661921,0,0,0,0
ROBERT BARATHEON,228,0.035454545454545454,0,0,0,0,0,0
ROBETT GLOVER,229,0,0,0,0,0,0.003875968992248062,0.002962085308056872
ROBIN ARRYN,230,0.0030303030303030303,0,0,0.0024813895781637717,0,0.002325581395348837,0
RODRIK CASSEL,231,0.005454545454545455,0.0012903225806451613,0,0,0,3.875968992248062e-4,0
ROOSE BOLTON,232,0,0,0.017793594306049824,0.0037220843672456576,0.013454545454545455,0.004651162790697674,0
RORGE,233,0,0.0064516129032258064,0,0,0,0,0
ROS,234,0.011515151515151515,0.016774193548387096,0,0,0,0,0
ROSLIN TULLY,235,0,0,0.0071174377224199285,0,0,0,0
RYGER RIVERS,322,3.0303030303030303e-4,0,0,0,0,0,0
SALLADHOR SAAN,236,0,0.01806451612903226,0,0,0,0,0
SAMWELL TARLY,238,0.018787878787878787,0.02838709677419355,0.010676156583629894,0.08312655086848635,0.03636363636363636,0.01937984496124031,0.034360189573459717
SANDOR CLEGANE,239,0.00393939393939394,0.0012903225806451613,0.06761565836298933,0.031017369727047148,0,0.015891472868217054,0.031990521327014215
SANSA STARK,240,0.030606060606060605,0.007741935483870968,0,0.01488833746898263,0.03490909090909091,0.044186046511627906,0.06279620853080568
SELYSE BARATHEON,241,0,0,0,0,0.005454545454545455,0,0
SEPTA MORDANE,243,0.010606060606060607,0,0,0,0,0,0
SEPTA UNELLA,244,0,0,0,0,0.0025454545454545456,0.0027131782945736434,0
SHAE,245,0.010606060606060607,0.016774193548387096,0,0,0,0,0
SHAGGA,246,0.0018181818181818182,0,0,0,0,0,0
SHIREEN BARATHEON,248,0,0,0,0,0.016,0,0
SMALLJON UMBER,251,0,0,0,0,0,0.006589147286821705,0
STANNIS BARATHEON,254,0,0.02967741935483871,0,0.009925558312655087,0.039636363636363636,0,0
STEVRON FREY,323,3.0303030303030303e-4,0,0,0,0,0,0
STYR,258,0,0,0,0.007444168734491315,0,0,0
SYRIO FOREL,260,0.00909090909090909,0,0,0,0,0,0
TALISA MAEGYR,261,0,0,0.03202846975088968,0,0,0,0
TALLA TARLY,263,0,0,0,0,0,0.0011627906976744186,0
THENN WARG,266,0,0,0,0.0012406947890818859,0,0,0
THEON GREYJOY,267,0.022424242424242423,0.05548387096774193,0,0.018610421836228287,0.012727272727272728,0.02131782945736434,0.00533175355450237
THOROS OF MYR,269,0,0,0,0,0,0.0034883720930232558,0.014218009478672985
THREE-EYED RAVEN,270,0,0,0,0,0,0.010077519379844961,0
TOBHO MOTT,272,0.0015151515151515152,0,0,0,0,0,0
TOMARD,320,3.0303030303030303e-4,0,0,0,0,0,0
TOMMEN BARATHEON,275,0,0,0,0,0.015272727272727273,0.02054263565891473,0
TORMUND GIANTSBANE,276,0,0,0.060498220640569395,0.02357320099255583,0.010545454545454545,0.010465116279069767,0.021919431279620854
TRYSTANE MARTELL,278,0,0,0,0,0.0036363636363636364,7.751937984496124e-4,0
TYCHO NESTORIS,279,0,0,0,0,0,0,0.01066350710900474
TYENE SAND,280,0,0,0,0,0.00909090909090909,0,0.002369668246445498
TYRION LANNISTER,281,0.06727272727272728,0.09935483870967741,0,0.04218362282878412,0.06763636363636363,0.06201550387596899,0.07345971563981042
TYWIN LANNISTER,282,0.01090909090909091,0,0,0.02729528535980149,0,0,0
VALA,283,0,0,0,0,0,0.0011627906976744186,0
VANCE CORBRAY,284,0,0,0,0.0012406947890818859,0,0,0
VARDIS EGEN,285,0.0021212121212121214,0,0,0,0,0,0
VARLY,286,3.0303030303030303e-4,0,0,0,0,0,0
VARYS,287,0.024545454545454544,0.02064516129032258,0,0.0012406947890818859,0.01781818181818182,0.01821705426356589,0.021919431279620854
VISERYS TARGARYEN,290,0.02090909090909091,0,0,0,0,0,0
WAIF,291,0,0,0,0,0.008363636363636363,0.010465116279069767,0
WALDA BOLTON,292,0,0,0,0,0.0014545454545454545,0.0031007751937984496,0
