season,character_cast,episode
1,Eddard Stark,1
1,Robert Baratheon,1
1,Jaime Lannister,1
1,Catelyn Stark,1
1,Cersei Lannister,1
1,Daenerys Targaryen,1
1,Jorah Mormont,1
1,Viserys Targaryen,1
1,Jon Snow,1
1,Sansa Stark,1
1,Arya Stark,1
1,Robb Stark,1
1,Theon Greyjoy,1
1,Bran Stark,1
1,Joffrey Baratheon,1
1,Sandor Clegane,1
1,Tyrion Lannister,1
1,Maester Luwin,1
1,Jory Cassel,1
1,Rodrik Cassel,1
1,Benjen Stark,1
1,Illyrio Mopatis,1
1,Qotho,1
1,Ros,1
1,Septa Mordane,1
1,Will,1
1,Jon Arryn,1
1,Waymar Royce,1
1,Gared,1
1,Rickon Stark,1
1,Tommen Baratheon,1
1,Myrcella Baratheon,1
1,Hodor,1
1,Pentoshi Servant,1
1,Wight Wildling Girl,1
1,Khal Drogo,1
1,Winterfell Beekeeper,1
1,Tommy,1
1,Mikken,1
1,King's Guard,1
1,Eddard Stark,2
1,Robert Baratheon,2
1,Jaime Lannister,2
1,Catelyn Stark,2
1,Cersei Lannister,2
1,Daenerys Targaryen,2
1,Jorah Mormont,2
1,Viserys Targaryen,2
1,Jon Snow,2
1,Sansa Stark,2
1,Arya Stark,2
1,Robb Stark,2
1,Theon Greyjoy,2
1,Bran Stark,2
1,Joffrey Baratheon,2
1,Sandor Clegane,2
1,Tyrion Lannister,2
1,Maester Luwin,2
1,Jory Cassel,2
1,Rodrik Cassel,2
1,Benjen Stark,2
1,Doreah,2
1,Qotho,2
1,Irri,2
1,Jhiqui,2
1,Ilyn Payne,2
1,Mycah,2
1,Rast,2
1,Catspaw Assassin,2
1,Lannister Guard,2
1,Tommen Baratheon,2
1,Myrcella Baratheon,2
1,Khal Drogo,2
1,Knight,2
1,Baratheon Guard,2
1,Mikken,2
1,Northern Bannerman,2
1,Eddard Stark,3
1,Robert Baratheon,3
1,Jaime Lannister,3
1,Catelyn Stark,3
1,Cersei Lannister,3
1,Daenerys Targaryen,3
1,Jorah Mormont,3
1,Petyr Baelish,3
1,Viserys Targaryen,3
1,Jon Snow,3
1,Sansa Stark,3
1,Arya Stark,3
1,Bran Stark,3
1,Robb Stark,3
1,Joffrey Baratheon,3
1,Tyrion Lannister,3
1,Lord Varys,3
1,Jeor Mormont,3
1,Alliser Thorne,3
1,Jory Cassel,3
1,Barristan Selmy,3
1,Rodrik Cassel,3
1,Benjen Stark,3
1,Yoren,3
1,Grand Maester Pycelle,3
1,Renly Baratheon,3
1,Maester Aemon,3
1,Syrio Forel,3
1,Old Nan,3
1,Septa Mordane,3
1,Royal Steward,3
1,Grenn,3
1,Pypar,3
1,Rast,3
1,Rakharo,3
1,Irri,3
1,Lancel Lannister,3
1,Drunk Patron,3
1,King's Landing Whore,3
1,Khal Drogo,3
1,Eddard Stark,4
1,Robert Baratheon,4
1,Jaime Lannister,4
1,Catelyn Stark,4
1,Cersei Lannister,4
1,Daenerys Targaryen,4
1,Jorah Mormont,4
1,Petyr Baelish,4
1,Viserys Targaryen,4
1,Jon Snow,4
1,Sansa Stark,4
1,Arya Stark,4
1,Robb Stark,4
1,Theon Greyjoy,4
1,Bran Stark,4
1,Joffrey Baratheon,4
1,Sandor Clegane,4
1,Tyrion Lannister,4
1,Maester Luwin,4
1,Lord Varys,4
1,Bronn,4
1,Alliser Thorne,4
1,Jory Cassel,4
1,Rodrik Cassel,4
1,Yoren,4
1,Barristan Selmy,4
1,Janos Slynt,4
1,Grand Maester Pycelle,4
1,Renly Baratheon,4
1,Marillion,4
1,Septa Mordane,4
1,Old Nan,4
1,Samwell Tarly,4
1,Grenn,4
1,Pypar,4
1,Rast,4
1,Gregor Clegane,4
1,Irri,4
1,Doreah,4
1,Hodor,4
1,Hugh of the Vale,4
1,Gendry,4
1,Tobho Mott,4
1,Tommen Baratheon,4
1,Myrcella Baratheon,4
1,Kurleket,4
1,Knight of House Frey,4
1,Willis Wode,4
1,Masha Heddle,4
1,Khal Drogo,4
1,Lancel Lannister,4
1,Eddard Stark,5
1,Robert Baratheon,5
1,Jaime Lannister,5
1,Catelyn Stark,5
1,Cersei Lannister,5
1,Petyr Baelish,5
1,Sansa Stark,5
1,Arya Stark,5
1,Theon Greyjoy,5
1,Bran Stark,5
1,Joffrey Baratheon,5
1,Sandor Clegane,5
1,Tyrion Lannister,5
1,Maester Luwin,5
1,Lord Varys,5
1,Jory Cassel,5
1,Rodrik Cassel,5
1,Bronn,5
1,Yoren,5
1,Barristan Selmy,5
1,Lysa Arryn,5
1,Grand Maester Pycelle,5
1,Renly Baratheon,5
1,Illyrio Mopatis,5
1,Marillion,5
1,Loras Tyrell,5
1,Gregor Clegane,5
1,Mord,5
1,Septa Mordane,5
1,Ros,5
1,Hugh of the Vale,5
1,Robin Arryn,5
1,Vardis Egen,5
1,Royal Steward,5
1,Goldcloak,5
1,Kurleket,5
1,Lancel Lannister,5
1,Mhaegen,5
1,King's Landing Whore,5
1,Tommen Baratheon,5
1,Myrcella Baratheon,5
1,Willis Wode,5
1,Peasant,5
1,Eddard Stark,6
1,Robert Baratheon,6
1,Catelyn Stark,6
1,Cersei Lannister,6
1,Daenerys Targaryen,6
1,Jorah Mormont,6
1,Petyr Baelish,6
1,Viserys Targaryen,6
1,Robb Stark,6
1,Sansa Stark,6
1,Arya Stark,6
1,Theon Greyjoy,6
1,Bran Stark,6
1,Joffrey Baratheon,6
1,Tyrion Lannister,6
1,Bronn,6
1,Rodrik Cassel,6
1,Barristan Selmy,6
1,Loras Tyrell,6
1,Lysa Arryn,6
1,Grand Maester Pycelle,6
1,Renly Baratheon,6
1,Marillion,6
1,Syrio Forel,6
1,Mord,6
1,Septa Mordane,6
1,Osha,6
1,Robin Arryn,6
1,Ros,6
1,Irri,6
1,Doreah,6
1,Hodor,6
1,Vardis Egen,6
1,Rakharo,6
1,Qotho,6
1,Lancel Lannister,6
1,Dothraki Crone,6
1,Joss,6
1,Stiv,6
1,Knight of House Lynderly,6
1,Eon Hunter,6
1,Night's Watch Deserter,6
1,Beric Dondarrion,6
1,Khal Drogo,6
