character.names.wikipedia,identifier
ADRACK HUMBLE,1
AEMON,2
AERON GREYJOY,3
AERYS TARGARYEN,4
AGGO,5
ALLISER THORNE,6
ALTON LANNISTER,7
ALYS KARSTARK,8
AMORY LORCH,9
ANGUY,10
ANYA WAYNWOOD,11
AREO HOTAH,12
ARMECA,13
ARTHUR,14
ARTHUR DAYNE,15
ARYA STARK,16
AXELL FLORENT,17
BALON GREYJOY,18
BARRA,19
BARRISTAN SELMY,20
BELICHO PAENYMION,21
BENJEN STARK,22
BERIC DONDARRION,23
BIANCA,24
BITER,25
BLACK WALDER RIVERS,26
BOBONO,27
BORBA,28
BOWEN MARSH,29
BRAN STARK,30
BRIENNE OF TARTH,31
BRONN,32
BROTHER RAY,33
BRYNDEN TULLY,34
CALEOTTE,35
CAMELLO,36
CATELYN STARK,37
CATSPAW ASSASSIN,38
CERSEI LANNISTER,39
CLARENZO,40
CLEY CERWYN,41
COOPER,42
CRASTER,43
CRESSEN,44
DAARIO NAHARIS,45
DAENERYS TARGARYEN,46
DAGMER CLEFTJAW,47
DAISY,48
DAVOS SEAWORTH,49
DENYS MALLISTER,50
DICKON TARLY,51
DIM DALBA,52
DONGO,53
DONGO THE DOMMED,54
DONNEL HILL,55
DONNEL WAYNWOOD,56
DONTOS HOLLARD,57
DORAN MARTELL,58
DOREAH,59
DRENNAN,60
EATON,61
EBROSE,62
EDDARD STARK,63
EDDISON TOLLETT,64
EDMURE TULLY,65
ELLARIA SAND,66
EURON GREYJOY,67
FARLEN,68
FENNESZ,69
FRANCES,70
GARED,71
GATINS,72
GENDRY,73
GEROLD HIGHTOWER,74
GHITA,75
GILLY,76
GREATJON UMBER,77
GREGOR CLEGANE,78
GREIZHEN MO ULLHOR,79
GRENN,80
GREY WIND,81
GREY WORM,82
GRIEZHEN MO ULLHOR,83
GUYMON,84
HALLYNE,85
HARALD KARSTARK,86
HARKER,87
HARRAG,88
HEWARD,89
HIGH PRIESTESS OF DOSH KHALEEN,90
HIGH SEPTON,91
HIGH SEPTON MAYNARD,92
HIGH SPARROW,93
HIZDAHR ZO LORAQ,94
HODOR,95
HOSTER TULLY,96
HOT PIE,97
HOWLAND REED,98
HUGH,99
IGGO,100
ILLYRIO MOPATIS,101
ILYN PAYNE,102
IRRI,103
IZEMBARO,104
JACK BULWER,105
