characters.transcripts.original,characters.transcripts.cleaned,identifier
ADDAM MARBRAND,ADDAM MARBRAND,NA
AERSON,AERSON,NA
ALLISER THRONE,ALLISER THRONE,NA
BARRISTON,BARRISTON,NA
BLACKSMITH,BLACKSMITH,NA
BRANN STARK,BRANN STARK,NA
CERSEI BARATHEON,CERSEI BARATHEON,NA
COHOLLO,COHOLLO,NA
DAENARYS STORMBORN,DAENARYS STORMBORN,NA
DAENERYS STORMBORN,DAENERYS STORMBORN,NA
DANY,DANY,NA
DEANERYS TARGARIAN,DEANERYS TARGARIAN,NA
DERRYK,DERRYK,NA
DONNEL,DONNEL,NA
EDDARK STARK,EDDARK STARK,NA
HUGH OF THE VALE,HUGH OF THE VALE,NA
JAMIE LANNISTER,JAMIE LANNISTER,NA
JAREMY RYKKER,JAREMY RYKKER,NA
JHIQUI,JHIQUI,NA
JOHN,JOHN,NA
JON,JON,NA
JONOS BRACKEN,JONOS BRACKEN,NA
JORA,JORA,NA
KARSTARK,KARSTARK,NA
KING JOFFREY,KING JOFFREY,NA
LEO LEFFORD,LEO LEFFORD,NA
LITTLE BIRD,LITTLE BIRD,NA
LORD ROYCE,ROYCE,NA
LYANNA,LYANNA,NA
MAESTER,MAESTER,NA
MANDERLY,MANDERLY,NA
MARYN TRANT,MARYN TRANT,NA
MASHA HEDDLE,MASHA HEDDLE,NA
MERRY,MERRY,NA
MILITANT,MILITANT,NA
MORD,MORD,NA
MORDANE,MORDANE,NA
NAN,NAN,NA
NED STARK,NED STARK,NA
PYP,PYP,NA
QUICK,QUICK,NA
RHAKARO,RHAKARO,NA
RHAKHARO,RHAKHARO,NA
RICKARD,RICKARD,NA
RODRICK CASSEL,RODRICK CASSEL,NA
RODRIK CASSAL,RODRIK CASSAL,NA
ROYCE,ROYCE,NA
RYGER RIVERS,RYGER RIVERS,NA
SAME,SAME,NA
SAMWEL TARLY,SAMWEL TARLY,NA
SAND SNAKES,SAND SNAKES,NA
SELYSE,SELYSE,NA
SEPTA,SEPTA,NA
STEVRON FREY,STEVRON FREY,NA
TALISA,TALISA,NA
THRONEKHAL DROGO,THRONEKHAL DROGO,NA
TOMARD,TOMARD,NA
TYWEN,TYWEN,NA
WALDERY FREY,WALDERY FREY,NA
WUN WUN,WUN WUN,NA
